Name	YT Scope Project	
File	C:\Users\34468\Documents\GitHub\Selettori_Colori\Scope\Scope Project.csv	
Starttime of export	133286225188940000	lunedì 15 maggio 2023	13:08:38.894
Endtime of export	133286226059540000	lunedì 15 maggio 2023	13:10:05.954


Name	bMotorImpulse	Name	nColorSensor
SymbolComment	I1  (NC)	SymbolComment	I4
Data-Type	BIT	Data-Type	REAL32
SampleTime[ms]	10	SampleTime[ms]	10
VariableSize	1	VariableSize	4
SymbolBased	True	SymbolBased	True
IndexGroup	61472	IndexGroup	16448
IndexOffset	450456	IndexOffset	385012
SymbolName	MAIN.stRawIn.bMotorImpulse	SymbolName	MAIN.stIn.nColorSensor
NetID	5.85.197.242.1.1	NetID	5.85.197.242.1.1
Port	852	Port	852
Offset	0	Offset	0
ScaleFactor	1	ScaleFactor	1
BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0

6780	0	6780	7,60399151
6790	0	6790	7,603381
6800	0	6800	7,60155
6810	0	6810	7,60063457
6820	0	6820	7,599719
6830	0	6830	7,60093975
6840	0	6840	7,60063457
6850	0	6850	7,600024
6860	0	6860	7,60155
6870	0	6870	7,60246563
6880	0	6880	7,603076
6890	0	6890	7,60246563
6900	0	6900	7,603076
6910	0	6910	7,603381
6920	0	6920	7,60216045
6930	1	6930	7,60216045
6940	1	6940	7,603076
6950	1	6950	7,60368633
6960	1	6960	7,60399151
6970	1	6970	7,60246563
6980	1	6980	7,60155
6990	1	6990	7,601245
7000	1	7000	7,60063457
7010	0	7010	7,599414
7020	0	7020	7,599719
7030	0	7030	7,60093975
7040	0	7040	7,60155
7050	0	7050	7,60185528
7060	0	7060	7,60216045
7070	0	7070	7,60185528
7080	0	7080	7,601245
7090	0	7090	7,601245
7100	0	7100	7,601245
7110	0	7110	7,601245
7120	0	7120	7,60063457
7130	0	7130	7,59880352
7140	1	7140	7,59880352
7150	1	7150	7,5991087
7160	1	7160	7,59849834
7170	1	7170	7,597583
7180	1	7180	7,597583
7190	1	7190	7,59880352
7200	1	7200	7,59849834
7210	0	7210	7,598193
7220	0	7220	7,59849834
7230	0	7230	7,598193
7240	0	7240	7,597583
7250	0	7250	7,598193
7260	0	7260	7,59880352
7270	0	7270	7,59880352
7280	0	7280	7,59880352
7290	0	7290	7,599719
7300	0	7300	7,600024
7310	0	7310	7,60063457
7320	0	7320	7,600024
7330	0	7330	7,5991087
7340	0	7340	7,5991087
7350	0	7350	7,597583
7360	1	7360	7,597583
7370	1	7370	7,599414
7380	1	7380	7,599719
7390	1	7390	7,599719
7400	1	7400	7,60063457
7410	1	7410	7,601245
7420	1	7420	7,601245
7430	1	7430	7,60155
7440	0	7440	7,60155
7450	0	7450	7,60155
7460	0	7460	7,60185528
7470	0	7470	7,60185528
7480	0	7480	7,60246563
7490	0	7490	7,60246563
7500	0	7500	7,60093975
7510	0	7510	7,599414
7520	0	7520	7,60063457
7530	0	7530	7,601245
7540	0	7540	7,60155
7550	0	7550	7,60155
7560	1	7560	7,60216045
7570	1	7570	7,60216045
7580	1	7580	7,60216045
7590	1	7590	7,60246563
7600	1	7600	7,60216045
7610	1	7610	7,60155
